"reviews
","ratings"
"Cardápio “bem salgado” , porém valeu a experiência. Fomos na sugestão da garçonete, muito atenciosa por sinal, que nos sugeriu o conchiglione ao molho san marino e estava DELICIOSO.
","5"
"Restaurante limpo, atendentes bem treinados, preço justo, comida deliciosa. Pratos quentes realmente quentes! Muito bom.
","5"
"O restaurante conta com comida fresca e bastante saborosa, ambiente bem legal e garçons bastante educados, a visita é obrigatória nesse restaurante que é, na minha opinião, um ótimo custo benefício.
","5"
"Ótimo ambiente, atendimento muito bom e a comida maravilhosa. Voltaremos muitas vezes! Recomendo a todos.
","5"
"A comida deste lugar é sensacional. Bom atendimento, a depender do horário um pouco mais demorado. O lugar é agradável e aconchegante. Tudo é bom lá. O risoto um dos melhores que já comi. Aliás, tanto os risotos, quanto carnes e massas são maravilhosos! Preço justo. Lugar no centro de Curitiba que merece ser visitado! 
","5"
"Lugar e decoração bem agradáveis, atendimento razoável e comida bem boa vale a pena !!!! Ah o preço do prato do dia é bem bom!!!! Eu pedi o risoto caprese com mignon e é excelente! 
","4"
"Fomos para o almoço com a família.
Ótimo atendimento.
Várias opções de pratos como massas, risotos e carnes.
A comida é muito saborosa e bem servida. Amei.
","5"
"Had lunch here and I choose steak with a salad (Caprese) and my colleagues took pasta. Food arrived quickly and was well prepared and tasty. Service was friendly.
","4"
"Fui com minha esposa e minhas duas filhas de 5 e 7 anos no dia 14/01/2019. O restaurante fica no centro de Curitiba. Somente abre para almoço, se não me engano de 11h30 às 15h00. Tem uma pãezinhos quentinhos com manteiga de entrada que são deliciosos. Pedimos uma lasanha para duas pessoas 69 reais, de massa verde à bolonhesa que foi dos deuses, uma das lasanhas mais gostosas que já comi. E um prato kids para as crianças dividirem de tiras de filé mignon, arroz, fritas a 38 reais. A maioria dos pratos são individuais, mas há pratos do dia com promoção, mas que como são do dia não podem ser modificados, tipo trocar um acompanhamento por outro. O atendimento é muito bom, você se sente em casa. As sobremesas que pedimos sorvete com calda de chocolate e creme de papaya com liquor de cassis estavam deliciosos e com tamanhos generosos kkkk. Lugar muito legal.
","5"
"Passar a tarde tomando um chá exótico e delicioso com um papo sem fim com minha filha foi maravilhoso neste que é um dos meus lugares preferidos em Curitiba. As tortas, tapiocas e outras guloseimas, são sem igual. Nããão dá para não voltar muitas e muitas vezes 🙋‍♂️
","5"
"Adoramos o local. Bonito, organizado e com várias opções gastronômicas: carnes, hamburguer, comida indiana, japonesa, sorvete artesanal, cervejas e vinhos. Vale muito conhecer! A decoração é moderna e aconchegante e com nada de luz branca...tem aquele clima de luz mais baixa, em tons amarelados...
Os restaurantes são todos em containers customizados. Música de boa qualidade.
","5"
"O lugar é muito bom e conta com uma culinária bem variada. Há diversas opções e preço é bem interessante.
","5"
"Não comam no Pão com Bife. Pão duro, seco, atendimento HORRÍVEL. Comi super desgostosa e o atendente mal olhou na minha cara quando fui fazer a reclamação do lanche. Segue uma foto com o pedaço do pão duro e seco deles.
","3"
"Praça de alimentação ao ar livre, com varias opções de restaurantes, bebidas, diversão para crianças, a noite tem música ao vivo. 
","4"
"Foi nossa primeira vez. O lugar coberto é tipo um forno, beeeem abafado. A opção de comidas é ótima, tem para todos os gostos. Sei que é de propósito, mas o lugar parece mal acabado ou em construção, com muitas redes e tal. Som ambiente muito alto e pesado. Não fica um ambiente gostoso pra comer. Acho que eles não entenderam se querem ser um lugar só para jovens ou para público em geral. Então tem um monte de família com nenens debaixo de um som de rock pesado alto. O Cadore e a Mercadoteca são mais confortáveis para sentar e ficar conversando.
","3"
"Atendimento bom, porções grandes e com preço justo. Tudo que pedimos estava muito bom. Vale a pena. Na sexta tem show ao vivo e a entrada custa 8,00 por pessoa.
","4"
"Atendimento excepcional,  comida excelente e um preço justo! Você pode escolher o vinho na adega e a carta tem várias opções para todos os paladares! Ambiente aconchegante! Enfim, vale muito a pena! Voltarei com certeza!! 
","5"
"Lugar aconchegante e pratos deliciosos. Almocei e jantei, pois os sabores são exclusivos. Atendimento excelente. Funcionários dedicados e atenciosos. Fomos atendidas pelo Gabriel que foi mto simpático. Super recomendo. 
","5"
"Ambiente agradável, comida boa e atendimento impecável. Possui grande variedade de vinhos, com boas opções de queijos e embutidos para antepasto. Recomendo fortemente o Armazém 71.
","5"
"Sabe aquela sensação de fazer um bom negócio, foi assim que senti no restaurante Armazem 71. Primeiro: O atendimento do Diego e do Gabriel é excelente, educados e solícitos/ a comida é muito bem servida e saborosa/ variedades muito grande de vinhos com preços justos/ ambiente agradável. Enfim, super recomendo!!
","5"
"O lugar é bem simpático e o atendimento é excelente.  Está junto com uma loja de vinhos, você escolhe e paga o valor bem em conta para tomar sua garrafa lá mesmo.
Todos adoraram! Voltaremos com certeza!
","5"
"Restaurante sensacional! Ambiente delicioso, aconchegante e o atendimento impecável. A possibilidade de consumir o vinho pelo preço da compra é um diferencial super importante! Recomendo de olhos fechados 👍
","5"
"Went for a saturday lunch with my wife and I found a totally renovated place, great atmosphere, nice and fairly priced menu, and excllent wine options (by the Bottle), everything in the menu sounds delicious and when they arrived at the table uauuu they were awsome, I had to decide between theMIGNON and the SOLE Fish (Linguado) while my wife decided to go for the Gorgonzola Risoto, portions were generous and full of flavour, we tried the dessert and it was superb. Definetelly a go back place. 
","5"
"O atendimento é excepcional...o cardápio para esta temporada do Bom Gourmet está uma delícia.
Adoramos e com certeza recomendamos!!

","5"
"A Freddo é uma excelente sorveteria, com sabores tradicionais e alguns exclusivos, uma das melhores da cidade.
","5"
"Sorvete para todos os gostos. Um pouco caro mas vale muito a pena. Estabelecimento muito bem mantido e agradável.
","5"
"Grande variedade de sabores deliciosos de sorvetes servidos em porções de boa quantidade. No ShoppIng Crystal, disponibiliza espaço agradável para degustar os sorvetes, embora seja pequeno. Vale a pena a visita!
","4"
"Chopinho sempre novo e atendimento nota 10. Recomendo muito as empadas de massa folhada, a carne de onça e o pão com bife.
","4"
"Excelente local para um bom chopp e entradas diversas, tudo com a mais alta qualidade. Garçons super atenciosos e o custo-beneficio excelente.
","5"
"O melhor lugar para tomar um chopp é conversar com os amigos...
Indico a porção de testículos de touro é afrodisíaco.
","5"
"Em Curitiba não existe outra pastelaria melhor que a Brasileira que te oferece uma dezena de variedades e um melhor que o outro. O de Palmito tem um sabor super especial. O Ambiente é simples, sempre está cheio e cada vez que passo em frente entro para saborear uma unidade.
","5"
"melhor pastel de Curitiba e ponto turístico também, já encontrei pessoas das várias regiões do país. Me sinto orgulhosa de ser curitibana
","5"
"A comida não é má e até é bem variada, embora inteiramente trivial e sem nada que a distinga da servida em outras centenas de estabelecimentos semelhantes de Curitiba. Já o preço, pelo menos no sábado, é digno de um restaurante muito superior. É claro que não voltarei.
","2"
"Restaurante de ótima qualidade,  lugar aconchegante atendimento excelente pratos deliciosos e a sobremesa divina .
","5"
"Recomendo! Comida muito saborosa. Várias opções de pratos frios / saladas e de pratos quentes. Serviço cordial.
","5"
"Fantastico!
Variedade no buffet, ambiente agradavel, musica ao vivo e pertinho.
Preço justo.
Ótima dica.
","5"
"Nakaba é o lugar predileto de minha família para refeições em qualquer situação. Quando recebo meus irmãos, ouço logo: vamos ao Nakaba,
Comida de primeira, esmerada, bonita, e muito bem servida.
Salão amplo, agradável e muito bem situado.
Vale esplêndidamente a visita.
","5"
"Comida excelente. Grande variedade do Buffet. Camarão empanado e diversos frutos do mar, além dos sushis à vontade. O ambiente é simples, porém agradável. O serviço é muito bom com garçons atenciosos e sempre atentos. No almoço de domigo tem aula de Origami para entreter as crianças. Tudo de bom!
","5"
"Restaurante japonês bem tradicional, tempura de camarão e legumes maravilhoso, aliás como todo o rodizio, só não dou excelente pois não tem shitake na manteiga.
","4"
"Comemos rodízio de sushi a noite, pratos quentes e saladas. Tudo muito gostoso. Fomos muito bem atendidos.
","5"
"O Nakaba tem um diferencial que é sentar no balcão a frente do sushiman e fazer os pedidos diretamente ao mesmo. Desta forma conta com mais opções de peixes. Na última vez tinha até atum do Pacífico.
","5"
"Comida boa muitas variedades e os garçons te oferece toda hora sashimi , tempura de camarao e anchova na chapa. Os atendendes sao muito atenciosos nos detalhes , tem sala de criatividades pra criança muito legal , faz desenho e aprender fazer origami . Nota 10
","5"
"Faço questão de ir semanalmente no buffet de almoço deles. Tudo preparado com muito cuidado e esmero, niguiris/sushis frescos, cortes frescos, pratos quentes sempre recém saídos da cozinha além da possibilidade de pedir excelentes temakis e pratos a la carte com qualidade e preço coerente.
","5"
"Uma ambiente sensacional, atendimento nota 1000.
A comida, pode escolher de olhos fechados que não tem erro, todos os pratos são muito bons...
","5"
"Sempre uma delícia os pratos. Ambiente aconchegante!!! Volto com certeza pois valeu a penas as 2 visitas!
","5"
"Restaurante com ambiente aconchegante e ideal para conversar. A menu é muito bom e a carta de vinhos também.
","4"
"Fui celebrar aniversário de casamento, e sem duvida, foi uma excelente opção, carta de vinhos com diversas opções excelentes, o atendimento desde a porta do restaurante sempre com cordialidade, e os pratos fantásticos, demoraram um pouco a servir, porem nada que ofusque o brilho, recomendo.
","5"
"Ambiente bem simples mas a comida é muito gostosa. Tanto os sushis quanto os pratos quentes são muito bons e o preço é muito justo. Recomendo para quem quer comer um sushi de qualidade num ambiente sem frescura.
","4"
"Super gostoso com preço excelente. Não espere luxo no ambiente porém pratos saborosos. Imperdível  vale muito a pena conhecer. Foge dos restaurantes luxuosos porém de extrema qualidade
","5"
"Comida boa, atendimento bom e rápido, lugar aconchegante. Cadeiras confortáveis. Aberto no domingo...
","5"
"Não conhecia o Paulinho Sushi Bar, qdo amigos me avisaram do lugar.  Um lugar simples e gostosíssimo.  Sem a parafernália dos restaurantes chiques, mas focado no que interessa: a comida!!!
Fiquei curiosa pra saber da história dele, do Paulinho, que não é japonês, mas o ""fervo"" do lugar não permitiu...
Detalhe: veio super rápido!!
Adorei a comida, o atendimento, o lugar!!
","5"
"Comemos um combinado de sushi e sashimi, yakisoba e um peixinho empanado para crianças. Tudo muito gostoso, ingredientes muito frescos, sashimi delicioso. Atendimento espetacular. Recomendo muito.
","5"
"Buffet de cafe da manhã excelente, misto quente muito bom e pão de queijo também! Atendimento meio atrapalhado. Mas comida de qualidade.
","4"
"Excelente atendimento e quitutes . Sou cliente da Brioche há anos e continua sendo a minha padaria favorita
","5"
"Uma ótima opção para tomar um cafezinho ou uma canja. Fomos super bem atendidos. Ambiente agradável.  Estacionamento. 
","4"
"Padaria muito boa, atendimento ótimo. Comidas bem frescas, café, tudo muito bom! Ambiente espaçoso com estacionamento, cômodo para quem quer sair de casa e não se preocupar!
","5"
"Comida de qualidade, bom atendimento e local agradável. Café da manhã ótimo com preço justo! Recomendo 
","5"
"Lugar muito agradável, ótimo atendimento. Apresenta bastante variedade em relação a massas. Porém poucas opções para pessoas Veganas em relação a pratos quentes.
","5"
"Ambiente agradável e ótimo atendimento. Opções variadas. Valores um pouco acima de média, mas vale pela qualidade. Estacionamento no local.
","3"
"O buffet de café é muito bom, mas não é barato.
O ambiente é limpo e silencioso. Tem estacionamento próprio
Recomendo
","4"
"Produtosde qualidade, atendimento cortês e acolhedor!
Adorei a opção de pães sem glúten, fez a diferença para mim❤️
","5"
"Grande variedade de delícias elaboradas com produtos de primeira qualidade. Somos frequentadores habituais e recomendamos a Brioche❤️!
","5"
"Segunda feira com café de domingo! Misto quente já prontinho no Buffet e eles só esquentam no hora. Amazing !!!

","4"
"Ótimo café da manhã, com boa variedade. O croissant amanteigado é delicioso, sim como o pão de queijo.
","5"
"Essa padaria é imbatível! Ambiente agradável e comida muito boa, principalmente os doces! 😋
Excelente lugar para tomar um café da tarde.
","5"
"Grande variedade de pães, frios e vinhos para levar; e, café e sucos com buffet de salgados e doces para comer no local. Vale a experiência. 
","5"
"Quer um lugar para degustar doces e salgados deliciosos, recomendo a Brioche na Augusto Stresser. Lugar agradável com os melhores doces e salgados, uma variedade incrivel no buffet e com preços justo. Super recomendo.
","5"
"Ótimo atendimento, espaço agradável com ar condicionado, grande variedade de salgados e doces no buffet que são de comer com os olhos, além de uma grande variedade de pães, sucos, vinhos... para levar
","4"
"Café da manhã muito bom. Ambiente agradavel. Muitas opções. Café ótimo. Adoro tomar café da manhã aqui 😊
","5"
"Almoço religiosamente toda semana no Adele. O buffet oferece também opções saudáveis onde tudo é saboroso e feito com carinho. 
A feijoada é servida aos sábado e as quartas feiras, uma das melhores da cidade!  As sobremesas também são imperdíveis.
Um dos meus restaurantes favoritos. 
","5"
"Buffet com saladas maravilhosa, muito bem temperadas. Sucos maravilhosos. Ideia de alimentação saudável. Opções de alimentação diferente do tradicional. Gente bonita que frequenta. Muito bem atendido.
","4"
"Nice buffet, excellent quality with healthy options. Cosy place. Good service. I recommend for a launch.
","5"
"Comida a quilo, bem gostosa e com opções ""naturebas"". Imperdível a farofa e a torta de coco. Pena que o lugar é um pouco quente e não abre todos os dias.
","4"
"Ótimo atendimento, música ao vivo,bons drinks, tudo perfeito!Happy Hour com descontos bem bacanas.Vale a pena conferir!
","5"
"Este local ocupa uma casa antiga, no coração histórico de Curitiba. Tem um bar muito bem decorado, além de vários outros espaços. Boas cervejas e chopps. Fomos curtir um happy hour e nesse horário há brindes nas bebidas: vc pede um chopp grande e paga um pequeno. E lá tem chopp Guinness ( maravilha) servido com muita simpatia pelo Romulo. No sábado fomos almoçar feijoada,  bem apresentada, farta, saborosa e muito em conta. Isso sem falar das caipirinhas deliciosas para abrir os trabalhos antes da comilança.
Em  resumo:um lugar charmoso, bem atendido e bem servido a preços muito acessiveis. Lugar para jogar conversa fora, beber, comer e sair com vontade de voltar no próximo dia.
","5"
"Fomos pra o almoço e pedimos o prato do dia, peixe ao molho de laranja. A porção era bem servida, eu estava com fome e me serviu bem. O ambiente também é bacana, com temática de circo, intimista e o atendimento foi excelente e rápido. 
","5"
"Estacionamento bom. Ambiente bem decorado e espaçoso. 
Comida...
Bom, fui num almoço, e essa é a terceira vez que vou no estabelecimento, mas fazia tempo desde a última vez. Não parece ter nada mudado pelas minhas lembranças, única coisa que eu me recordo, é do camarão a milanesa deles. Não é ""bem"" ruim, é só ruim. Eu peguei sabendo que era ruim porque camarão é uma coisa muito gostosa, mas o a milanesa deles estraga totalmente. É uma massa grossa que esconde totalmente o gosto do camarão, não só isso, ela também suga MUITA gordura, então parece que você tá comendo gordura com esponja. Não sei se eles fazem isso como tática pra encher a pança/prato e assim também não haver tanto gasto com pessoas pegando muito. A massa realmente encobre mais do que deveria. 
Os sushis: muito grandes. Novamente, devem fazer isso para ter um gasto maior e enfim, jogada de estabelecimentos que querem ser espertinhos. Você quase acaba passando para o livre nessa brincadeira deles, mesmo mulheres. Pra vocês terem ideia do quão grande são os sushis. E não é tantas variedades como aparenta, eles simplesmente distribuem para a parte de cima, para o lado oposto, e acaba parecendo algo como ""nossa, quantos tipos diferentes"", mas é só dar uma olhadinha que você vê que é meio que igual. Não sei como são os outros dias, mas hoje não tinha o niguiri. Bem esquisito... E os outros sushis? Bom, uns 70% era de salmão skin com alguma coisa de diferente. Não me surpreendeu. O Hot Philadelphia foi a estrela do almoço: péssimo. Fiquei impressionado! Já comi em lugares bem baratos em que o hot era bonzinho, mas não ao ponto de ser ruim. Esse o tostado por fora era duro e difícil de mastigar, não tinha essa lembrança... 
O rolinho primavera, faltou especificar melhor na plaquinha: de um lado falava ""rolinho primavera frango"" no outro lado ""rolinho primavera"", então lógico que eu pensei que o que apenas dizia ""rolinho primavera"" seria o tradicional com legumes, e quando mordo... Queijo e presunto. 
Bom, as outras vezes que fui não achava nada demais, mas essa última, pelo valor, foi decepcionante. Prefiro comer em outro lugar. Não há mais porque voltar.
","2"
"Uau muito bom este local, ainda mais não tem taxa de serviço, onde vc pode saborear pratos japoneses e chineses, vale a pena
","4"
"Restaurante tradicional, já foi parte do grupo taisho que é um dos mais tradicionais japoneses de curitiba, atualmente está no terceiro proprietário, os produtos são de qualidade, há uma boa opção de pratos frios e quentes, atendimento impecável. É uma opção boa em relação ao preço que é módico principalmente durante a semana.
","4"
"O rodízio de sushi muito bom com preço bom de terça a quinta. Atendimento agradável e agilidade nos pedidos. Comida saborosa e fresca.
","4"
"O rodízio é bom dentro do que se espera, mas nada muito grandioso. Vale a pena ir caso esteja sem opções, mas tem rodízios melhores. Eu estava com uma expectativa maior, o atendimento é um pouco confuso mas nada que prejudique a experiência.
","3"
"Fomos em 4 amigos e gastamos R$300,00 achei o preço até que ok. De entrada pedimos um queijo coalho com bacon e também uma entrada com carne e queijo uma delícia! O hambúrguer uma delícia, porém não podia trocar o pão preto por qualquer outro pão. Uma pena, pois eu não gosto de pão preto, comi sem vontade o pão, ficaria muito mais satisfeita se desse pra mudar o pão.. Pra acompanhar os hamburguês pedimos uma batata com molho de mostarda nada demais. De sobremesa algo com sorvete de baunilha, que era divino! E por último pra acompanhar tudo isso, uma sangria de vinho, que o garçom deixou quebrar uma taça na nossa mesa, mas não feriu ninguém. Só que quando isso ocorreu, os outros garçons ficaram se olhando como se fosse o fim do mundo. Gente, acontece! Ficou muito chato o clima, veio vários garçons perguntar se estava tudo bem, se queríamos algo, já veio nossa sangria (eu acho que o chefe dos garçons veio entregar) já queria servir tudo as pressas. GENTE CALMA, o garçom que derrubou estava limpando a nossa mesa. e os outros chatos em cima de nós. Foi bem desagradável! Que tivessem ajudado o rapaz a limpar os cacos de vidro, e depois servido nossa sangria. Ficaram forçando uma coisa, e percebemos que o rapaz que quebrou a taça depois nem chegou mais perto da nossa mesa. O que achamos bem feio. Poderiam ter deixado ele numa boa continuar nos atendendo. Já que desde o começo atendeu nós, e de todos o melhor garçom.
","4"
"Atendimento, bebida e comida de excelente qualidade.
Lugar agradável.
Recomendo a todos.
Fácil acesso.
Dois Estacionamentos em frente.
","5"
"Descolado, informal, e com uma quantidade de entradas e hambúrgueres sensacional. Comi o Shiba Inu e meu marido o Bruto! Sem palavras. Já conhecia o Mastim que eh outra ótima opção! Se quer um hambúrguer de verdade, vá no Cão Véio!
","5"
"Começando pelo ambiente: a decoração rocker é demais. A comida é sensacional! Não tem erro, tudo que pedir será gostoso! As opções de cerveja e drinks são excelentes. Amamos o atendimento e sempre que vamos lá elogiamos e não deixamos de dizer isso!! 
","5"
"Lugar aconchegante e perfeito para saborear um bom hambúrguer e beber algumas cervejas especiais. Atendimento de primeira...
","4"
"Excelente lugar para ir com amigos e família. As entradas são Top, os hambúrgueres sensacionais. Nenhuma crítica. Atendimento de primeira. Sempre cheio, chegue cedo se não quiser ficar na fila de espera. Além das cervejas artesanais, tem um ótima carta de vinhos. 
","5"
"Estive ontem no Cão Veio com amigos, adorei a decoração da casa, muito bem elaborada, os lanches com sabores autênticos e saborosos. Contudo, não sei se foi o atendimento ou a falta de clareza que nos induziu a erro, o garçom perguntou se queríamos entrada e respondemos que iríamos comer só o lanche. Após um tempo pedimos os lanches e o garçom queria saber qual o acompanhamento, pensando que fazia parte do lanche optamos por mandioca frita. Qual não foi a surpresa ao vermos  que cobraram o “acompanhamento”. Primeiro, já tínhamos dito que queríamos só o lanche, segundo, não explicaram que era pedido a parte e não acompanhamento propriamente dito. Achei bem chato, não pelo dinheiro, mas pela forma de conduzir o pedido.
Um ponto a melhorar. No mais, nota 10.
","4"
"Ambiente agradável, música de fundo que não impede ninguem de conversar. Preço justo e comida boa! O melhor da noite foi o suco ""cachorro loco"" que tem um sabor único, delicioso. E a sobremesa ""pastor belga"" sensacional. Se for para Curitiba, não deixe de ir ao cão veio.
","4"
"Tem uma boa localização, os garçons são simpáticos e atenciosos e a decoração achei bem bacana.
Achei o som um pouco alto demais... a ponto de não conseguirmos conversar direito... a acomodação da nossa mesa ficou péssima...ficamos presos em um canto e, se quiséssemos levantar e inclusive sermos atendidos, tinhamos que pedir para o ocupante da outra mesa levantar... fomos servidos inclusive por cima do ombro dele...achei meio chato...mas tudo bem...
Pedimos a entrada São Bernardo.. batata doce com um molho... sinceramente não gostamos... as batatas vieram moles... nada crocantes...e com aspecto de gordura... eu esperava mais.
Pedi uma soda. Infelizmente ela veio quente (apesar das pedras de gelo) e parecia água com açúcar.... devolvi e eles não cobraram. Achei Justo!! 
O hambúrguer estava OK...
Pode ter sido apenas casos pontuais...mas eu realmente esperava mais.
","3"
"O local é simpático, bonito, atendimento rápido.
Ótimo para ir com os amigos após o trabalho em um happy hour. 
Não indico para família com crianças pequenas. 
A comida é boa, mas muito cara para a proposta oferecida, que não tem nada de diferente para o preço cobrado. Vale lembrar que o hambúrguer não vem com batatas e deve ser comprado a parte. 
","4"
"Ambiente, lanches, drinques e atendimento impecável. A gerente?... descolada e atenciosa. Eu super recomendo e com certeza voltarei. Vai lá. Tu tbm vai amar.

","5"
"Saborosos até demais. Realmente diferentes. O preparo das receitas nitidamente é um trabalho diferenciado, com toques de alta gastronomia. Valeu muito a pena conhecer e apreciar sanduíches tão distintos do habitual. Além disso, os molhos são mais do que especiais 🙋‍♂️
","5"
"O Cão Véio leva a assinatura de Henrique Fogaça, trazendo para Curitiba o gastropub ao estilo rock'n roll. Ótima decoração e o ambiente descontraído e casual fazem do Cão Véio uma opção perfeita para mais variadas ocasiões, seja  para famílias ou amigos. O cardápio é bem bacana com pratos bem elaborados, agora o que me surpreendeu foi o preço, não que seja barato, mas os lanches variam de R$ 38 a R$ 47. Destaque também para o atendimento. Fomos no sábado, o bar estava cheio mas não precisamos esperar, a comida não demorou. Voltaremos muito mais vezes.
","5"
"Estávamos em um grupo de 20 pessoas, fomos muito bem recebidos, auxiliados, cardápio muito divertido varias opções da pra ter experiencia gastronomica de final da tarde e noite muito bom. Atenção ao atendimento muito bom recomendo.
","4"
"Celebração de aniversário de amiga.
Local agradável com bom atendimento.
Pedi o sanduíche chamado pão de bêbado - tiras de colchão mole na chapa regado ao conhaque, no pão francês - macio, saboroso e preço justo.
Pedimos um hambúrguer que estava muito compactado e muito temperado ou seja, estava um pouco duro. Poderia ser melhor, inclusive pelo preço.
","3"
"Atendimento espetacular. Cerveja gelada, pessoas bacanas, ambiente muito divertido. Duas visitas e contando.
","4"
"Local agradável, embora com muito barulho, afinal trata-se de um bar. Ideal fazer reserva, tivemos um contratempo com a mesma, porém de pronto foi solucionado. Atendimento muito bom, pessoal atencioso e prestativo. Comida de boa qualidade. Excelente carne do onça! Cerveja gelada. Preços de acordo com os padrões dos bons bares de Curitiba.Local a ser recomendado!
","4"
"estivemos no Bar Quermesse no fim de semana. É a 3.ª vez que tentamos ir. Conseguimos realizar uma reserva e ficou claro que a mesma tinha validade até as 20:00 horas. Chegamos as 19:50 e nossa mesa NÃO ESTAVA DISPONIVEL. Houve algum ""tererê"" e nossa mesa foi distribuida. Sinceramente não gostei. Contudo, o atendente foi bem gentil e se disponibilizou em nos alocar em outro lugar. Aguardamos um pouco até que uma mesa interna foi oferecdia. Havíamos reservado na varanda mas... penso que uma reserva  se feita deva ser observada #ficaadica
","4"
